algorithm,mean_time,median_time,std_time,min_time,max_time
Greedy,0.00024026186010285037,0.0002381103891991,0.00014368864314523504,0.0,0.0007092952728271
DQN,0.0013157966834764412,0.0014186600844064501,0.00040055188442554806,0.0002987384796142,0.0020030736923217
Hybrid,0.22236733551154356,0.24906839678684867,0.08486141133193748,0.0868414839108785,0.4224789971890657
MCTS-500,0.8515352607863185,0.8756097078323364,0.20739093740040643,0.3743596717492858,1.46124467253685
Minimax,0.930370107992073,0.9840244253476462,0.25561992246663173,0.3946248531341553,1.6023033522488026
AlphaBeta,1.1333382172995554,1.0743856804711478,0.4536125148882197,0.4596316814422607,2.634449221871116
