player1,player2,winner,total_moves,player1_avg_time,player2_avg_time,timestamp
AlphaBeta,DQN,player1,9,0.5467687606811523,0.001163184642791748,2025-12-15T17:58:09.312958
DQN,AlphaBeta,player2,12,0.0014739831288655598,0.9827102422714233,2025-12-15T17:58:15.218063
AlphaBeta,DQN,player1,9,0.536756944656372,0.0009213685989379883,2025-12-15T17:58:17.907165
DQN,AlphaBeta,player2,12,0.0011525948842366536,0.9785053332646688,2025-12-15T17:58:23.785112
AlphaBeta,DQN,player1,9,0.536094331741333,0.0010426044464111328,2025-12-15T17:58:26.470789
DQN,AlphaBeta,player2,12,0.0006970564524332682,0.9902846415837606,2025-12-15T17:58:32.420434
AlphaBeta,DQN,player1,9,0.5364128112792969,0.0016044378280639648,2025-12-15T17:58:35.108916
DQN,AlphaBeta,player2,12,0.0008785724639892578,0.9887688557306925,2025-12-15T17:58:41.047375
AlphaBeta,DQN,player1,9,0.5417610168457031,0.001460433006286621,2025-12-15T17:58:43.762609
DQN,AlphaBeta,player2,12,0.0009858210881551106,0.983954668045044,2025-12-15T17:58:49.673925
AlphaBeta,DQN,player1,9,0.5404539108276367,0.0011442303657531738,2025-12-15T17:58:52.381857
DQN,AlphaBeta,player2,12,0.0012515783309936523,0.9936661322911581,2025-12-15T17:58:58.352902
AlphaBeta,DQN,player1,9,0.5454086303710938,0.001326441764831543,2025-12-15T17:59:01.086265
DQN,AlphaBeta,player2,12,0.0009455283482869467,0.9929222663243612,2025-12-15T17:59:07.049472
AlphaBeta,DQN,player1,9,0.53968505859375,0.0014863014221191406,2025-12-15T17:59:09.754864
DQN,AlphaBeta,player2,12,0.0011436939239501953,0.9930715958277384,2025-12-15T17:59:15.720701
AlphaBeta,DQN,player1,9,0.5535430908203125,0.0010833740234375,2025-12-15T17:59:18.493338
DQN,AlphaBeta,player2,12,0.0016963879267374675,1.0061072905858357,2025-12-15T17:59:24.540160
AlphaBeta,DQN,player1,9,0.5475976467132568,0.0015676617622375488,2025-12-15T17:59:27.284419
DQN,AlphaBeta,player2,12,0.001535177230834961,0.9950556755065918,2025-12-15T17:59:33.263964
AlphaBeta,DQN,player1,9,0.5449727535247803,0.0015726685523986816,2025-12-15T17:59:35.995785
DQN,AlphaBeta,player2,12,0.0014732678731282551,1.000581940015157,2025-12-15T17:59:42.009663
AlphaBeta,DQN,player1,9,0.5461317539215088,0.001677393913269043,2025-12-15T17:59:44.747698
DQN,AlphaBeta,player2,12,0.0011425018310546875,1.009064793586731,2025-12-15T17:59:50.810013
AlphaBeta,DQN,player1,9,0.5339595317840576,0.0017267465591430664,2025-12-15T17:59:53.486717
DQN,AlphaBeta,player2,12,0.0012920697530110676,0.9812632004419962,2025-12-15T17:59:59.382049
AlphaBeta,DQN,player1,9,0.538241195678711,0.0016736984252929688,2025-12-15T18:00:02.081018
DQN,AlphaBeta,player2,12,0.0015932718912760417,0.9847653309504191,2025-12-15T18:00:07.999716
AlphaBeta,DQN,player1,9,0.5384512901306152,0.0016790032386779785,2025-12-15T18:00:10.698689
DQN,AlphaBeta,player2,12,0.0015451908111572266,0.9897672335306803,2025-12-15T18:00:16.646563
AlphaBeta,DQN,player1,9,0.544596815109253,0.0010488629341125488,2025-12-15T18:00:19.374762
DQN,AlphaBeta,player2,12,0.0015689531962076824,0.9878175258636475,2025-12-15T18:00:25.311081
AlphaBeta,DQN,player1,9,0.5353199005126953,0.0015398263931274414,2025-12-15T18:00:27.994893
DQN,AlphaBeta,player2,12,0.0013450781504313152,0.9807048638661703,2025-12-15T18:00:33.889749
DQN,Greedy,player2,12,0.0009502569834391276,9.45727030436198e-05,2025-12-15T18:00:33.897028
Greedy,DQN,player1,11,0.00016836325327555338,0.0008190155029296875,2025-12-15T18:00:33.902697
DQN,Greedy,player2,12,0.0005867878595987955,0.00016677379608154297,2025-12-15T18:00:33.907745
Greedy,DQN,player1,11,0.00016840298970540365,0.0004124164581298828,2025-12-15T18:00:33.913618
DQN,Greedy,player2,12,0.0006866455078125,0.00015958150227864584,2025-12-15T18:00:33.918695
Greedy,DQN,player1,11,0.0002810160319010417,0.00043115615844726565,2025-12-15T18:00:33.923573
DQN,Greedy,player2,12,0.0007716814676920573,0.0,2025-12-15T18:00:33.929349
Greedy,DQN,player1,11,0.0,0.0011899948120117187,2025-12-15T18:00:33.935299
DQN,Greedy,player2,12,0.000693202018737793,8.789698282877605e-05,2025-12-15T18:00:33.942018
Greedy,DQN,player1,11,0.00016669432322184244,0.0008220672607421875,2025-12-15T18:00:33.947662
DQN,Greedy,player2,12,0.0007218519846598307,0.0,2025-12-15T18:00:33.953517
Greedy,DQN,player1,11,0.00017595291137695312,0.0008166313171386718,2025-12-15T18:00:33.959693
DQN,Greedy,player2,12,0.0006666978200276693,0.0,2025-12-15T18:00:33.966158
Greedy,DQN,player1,11,0.00016848246256510416,0.0004359245300292969,2025-12-15T18:00:33.970862
DQN,Greedy,player2,12,0.0007280508677164713,0.0002581278483072917,2025-12-15T18:00:33.977793
Greedy,DQN,player1,11,0.0005909204483032227,0.00032296180725097654,2025-12-15T18:00:33.982954
DQN,Greedy,player2,12,0.0007723569869995117,0.0,2025-12-15T18:00:33.988097
Greedy,DQN,player1,11,0.00016780694325764975,0.0004084587097167969,2025-12-15T18:00:33.993231
DQN,Greedy,player2,12,0.0002987384796142578,0.0004208485285441081,2025-12-15T18:00:33.999077
Greedy,DQN,player1,11,0.0,0.0008300304412841797,2025-12-15T18:00:34.003227
DQN,Greedy,player2,12,0.0007643302281697592,0.0002537171045939128,2025-12-15T18:00:34.009336
Greedy,DQN,player1,11,0.00016860167185465494,0.0006218433380126953,2025-12-15T18:00:34.014104
DQN,Greedy,player2,12,0.000519712766011556,0.00016792615254720053,2025-12-15T18:00:34.020902
Greedy,DQN,player1,11,0.0004208485285441081,0.0002998828887939453,2025-12-15T18:00:34.025975
DQN,Greedy,player2,12,0.000794688860575358,0.0,2025-12-15T18:00:34.031744
Greedy,DQN,player1,11,0.0,0.0007093429565429687,2025-12-15T18:00:34.036326
DQN,Greedy,player2,12,0.0004229148228963216,0.0005048513412475586,2025-12-15T18:00:34.042901
Greedy,DQN,player1,11,0.0,0.0007077693939208984,2025-12-15T18:00:34.048959
DQN,Greedy,player2,12,0.0009318987528483073,8.606910705566406e-05,2025-12-15T18:00:34.055067
